,Year,Player,Team,Pos,G,MP,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
262,2019,Tiffany Mitchell,IND,G,33,831,33,14,25.2,3.3,8.7,0.381,0.6,2.1,0.29,2.7,6.6,0.41,2.5,2.8,0.892,0.7,2.9,2.2,0.6,0.1,1.7,2.5,9.7
263,2019,Renee Montgomery,ATL,G,34,949,34,34,27.9,3.1,8.5,0.37,2,6.2,0.324,1.1,2.3,0.494,1.2,1.5,0.824,0.3,2.2,2.6,0.9,0.2,1.9,1.5,9.5
264,2019,Kaleena Mosqueda-Lewis,SEA,F,31,435,31,4,14,2.1,5.3,0.399,0.9,2.6,0.341,1.2,2.6,0.457,0.5,0.5,1,0.3,1.2,0.5,0.3,0.2,1.2,1.3,5.5
265,2019,Jaime Nared,LVA,G-F,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0
266,2019,Astou Ndour,CHI,C-F,21,368,21,11,17.5,2.8,5.6,0.492,0.7,1.6,0.424,2.1,4,0.518,0.6,0.9,0.722,1.4,4.2,0.7,0.5,0.7,0.7,1.7,6.8
267,2019,Kia Nurse,NYL,G,34,1001,34,34,29.4,4.2,10.6,0.393,1.9,5.4,0.353,2.3,5.2,0.435,3.4,3.9,0.872,0.6,2.5,2.3,0.7,0.1,1.6,1.8,13.7
268,2019,Arike Ogunbowale,DAL,G,33,1059,33,28,32.1,6.5,16.7,0.388,1.7,4.9,0.352,4.8,11.8,0.404,4.4,5.4,0.815,0.6,2.4,3.2,1.1,0,2.1,2.6,19.1
269,2019,Chiney Ogwumike,LAS,F-C,32,697,32,14,21.8,3.9,7.9,0.494,0,0.1,0.25,3.9,7.8,0.498,1.7,2.1,0.809,2.5,5.8,0.8,1,0.7,1.3,3.4,9.6
270,2019,Nneka Ogwumike,LAS,F,32,892,32,32,27.9,6.5,12.7,0.51,0.7,2.1,0.338,5.8,10.6,0.544,2.4,2.9,0.828,2.3,8.8,1.8,1.9,0.5,1.8,2.9,16.1
271,2019,Courtney Paris,SEA,C,30,190,30,0,6.3,0.2,0.5,0.4,0,0,,0.2,0.5,0.4,0.1,0.2,0.429,0.4,1.7,0.4,0.3,0.1,0.3,0.6,0.5
272,2019,Candace Parker,LAS,F-C,22,571,22,22,26,4,9.6,0.422,0.7,2.7,0.267,3.3,6.9,0.483,2.4,3,0.791,1.1,6.4,3.5,1,0.8,2.5,1.8,11.2
273,2019,Cheyenne Parker,CHI,F,34,670,34,0,19.7,3.1,6.9,0.459,0.1,0.5,0.278,3,6.3,0.474,2.4,2.8,0.842,1.8,5.8,0.9,0.7,1.2,1.3,2.4,8.8
274,2019,JiSu Park,LVA,C,25,163,25,0,6.5,0.3,1.5,0.216,0,0,0,0.3,1.4,0.222,0.2,0.4,0.444,0.4,1.1,0.4,0.2,0.2,0.3,0.9,0.8
275,2019,Shey Peddy,WAS,G,15,71,15,0,4.7,0.5,0.9,0.615,0.3,0.5,0.5,0.3,0.3,0.8,0.4,0.4,1,0.1,0.6,0.5,0.3,0,0.2,0.5,1.7
276,2019,Haley Peters,ATL,F,4,26,4,0,6.5,0,1.8,0,0,0,,0,1.8,0,0.5,0.5,1,0.3,0.5,0.3,0.3,0.3,1,0.8,0.5
277,2019,Kelsey Plum,LVA,G,34,868,34,30,25.5,3.1,8.6,0.365,1.3,3.7,0.36,1.8,4.9,0.369,1,1.1,0.872,0.4,2.9,3,0.8,0.1,1.6,2.2,8.6
278,2019,Aerial Powers,WAS,G,30,593,30,7,19.8,3.6,8.3,0.434,1.4,3.9,0.362,2.2,4.4,0.496,2.8,3.3,0.867,1.1,3.2,1.5,0.8,0.2,1.5,1.6,11.4
279,2019,Epiphanny Prince,LVA,G,3,28,3,0,9.3,1.7,3.3,0.5,1,2.3,0.429,0.7,1,0.667,0,0,,0.3,0.7,1,0.3,0.3,0,1.7,4.3
280,2019,LaToya Sanders,WAS,F-C,34,804,34,34,23.6,2.6,5.1,0.506,0,0,,2.6,5.1,0.506,1,1.1,0.892,1.3,5.5,1.9,0.9,1.4,0.9,2.1,6.1
281,2019,Allie Quigley,CHI,G,34,972,34,34,28.6,5,10.2,0.493,2.4,5.3,0.442,2.7,4.9,0.548,1.4,1.6,0.87,0.4,3,2.5,0.8,0.2,1.4,1.8,13.8
282,2019,Nayo Raincock-Ekunwe,NYL,F,28,367,28,1,13.1,1.5,2.8,0.544,0,0.1,0.333,1.5,2.7,0.553,0.6,0.9,0.64,1.4,2.8,0.4,0.3,0.1,0.8,1.5,3.7
283,2019,Danielle Robinson,MIN,G,34,919,34,25,27,4.1,9.3,0.437,0.3,1.2,0.22,3.8,8.1,0.469,1.7,1.9,0.879,0.6,3.5,3.7,1.2,0.2,2.1,1.8,10.1
284,2019,Sugar Rodgers,LVA,G,33,382,33,0,11.6,1.2,3.4,0.36,0.9,2.5,0.357,0.3,0.8,0.37,0.1,0.2,0.6,0.1,1.5,1.2,0.4,0.4,0.8,1.1,3.4
285,2019,Tierra Ruffin-Pratt,LAS,G,34,856,34,33,25.2,2.1,5.8,0.367,0.7,2.1,0.342,1.4,3.6,0.382,1,1.2,0.854,0.6,2.4,1.7,0.8,0.6,0.9,2.7,6
286,2019,Mercedes Russell,SEA,C,34,870,34,30,25.6,3.1,6,0.52,0,0,,3.1,6,0.52,1.2,1.9,0.646,2.4,6.1,1,1.1,0.5,1,2.5,7.5
287,2019,Katie Lou Samuelson,CHI,F,20,153,20,0,7.7,0.6,1.9,0.316,0.4,1.5,0.276,0.2,0.5,0.444,0.8,1,0.8,0.2,0.9,0.4,0.3,0.1,0.3,0.8,2.4
288,2019,Jessica Shepard,MIN,F,6,112,6,0,18.7,1.8,4.8,0.379,0.2,1.2,0.143,1.7,3.7,0.455,1,1.3,0.75,1.5,5.7,3.5,0.3,0.2,2.5,1.5,4.8
289,2019,Odyssey Sims,MIN,G,34,1083,34,34,31.9,5.6,13.4,0.415,0.7,2.7,0.269,4.8,10.6,0.453,2.6,3.3,0.795,0.7,3.4,5.4,1.4,0.1,3.3,2,14.5
290,2019,Alanna Smith,PHO,F,18,134,18,0,7.4,0.4,2.3,0.195,0.1,1,0.111,0.3,1.3,0.261,0.1,0.1,0.5,0.6,1.9,0.2,0.3,0.3,0.4,1,1.1
291,2019,Azura Stevens,DAL,F-C,9,144,9,1,16,2.1,5.9,0.358,0.1,1,0.111,2,4.9,0.409,0.4,0.6,0.8,1.7,3.6,0.6,0.6,1.1,1,1.3,4.8
292,2019,Shekinna Stricklen,CON,F,34,804,34,34,23.6,3.1,7.5,0.408,2.2,5.9,0.382,0.8,1.6,0.5,0.6,0.8,0.815,0.3,1.9,1.1,1,0.2,0.8,2.3,9
293,2019,Carolyn Swords,LVA,C,29,257,29,4,8.9,1.1,2.5,0.438,0,0,,1.1,2.5,0.438,0.4,0.4,0.846,0.7,2.2,0.3,0.2,0.1,0.6,0.9,2.6
294,2019,Brittney Sykes,ATL,G,34,880,34,27,25.9,3.8,10.3,0.365,0.8,3.2,0.259,2.9,7.1,0.412,1.9,2.7,0.703,0.7,4.4,2.5,0.6,0.5,2,1.7,10.2
295,2019,Stephanie Talbot,MIN,F,33,561,33,10,17,1.7,4.7,0.37,0.9,2.9,0.326,0.8,1.8,0.441,0.8,0.9,0.871,0.5,2.4,1.2,0.9,0.3,1.3,1.1,5.2
